Bay,Fixture,Position,UPC,Facings,New/Chg,Product Description,Size,Height,Width,Merch
3,1,11,0081000937795,1,,THINKSPORT KIDS CLEAR ZIN,3 FO,6.13 in,2.00 in,Unit
3,1,12,0081000937007,1,,THNKSPRT ASM SUNSCRN SPRY,6 FO,7.25 in,2.00 in,Unit
4,5,1,0087176000474,1,,SUN BUM MNRL SPF 30,6 OZ,7.50 in,2.10 in,Unit
4,5,2,0087176000196,1,,SUN BUM SPF 30 SPRAY 6 OZ,6 OZ,7.50 in,2.10 in,Unit
4,5,3,0087176000044,1,,SUN BUM SPF 30 LOTION 6 O,6 FO,6.50 in,2.80 in,Unit
4,5,4,0087176000309,1,,SUN BUM ORIGINAL SPF 30 S,0.45 OZ,3.40 in,2.00 in,Unit
4,5,5,0087176000753,1,,SUN BUM SPF 30 SCALP SPRA,2 FO,6.30 in,2.00 in,Unit
4,5,6,0087176000197,1,,SUN BUM SPF 50 SPRAY 6 OZ,6 OZ,7.50 in,2.10 in,Unit
4,5,7,0087176000045,1,,SUN BUM ORIGINAL SPF 50 L,6 FO,6.50 in,2.80 in,Unit
4,5,8,0087176000208,1,,SUN BUM ORIG SPRAY SPF70,6 OZ,7.50 in,2.10 in,Unit
4,5,9,0087176000046,1,,SUN BUM ORIG SPF70 SNSCRN,6 FO,6.50 in,2.80 in,Unit
4,5,10,0084015560061,1,,SUNBUM SPF 45 FACE MIST,3.4 OZ,6.50 in,2.00 in,Unit
4,5,11,0087176000297,1,,SUN BUM ORIGINAL FACE 50,3 OZ,5.70 in,2.25 in,Unit
4,5,12,0087176000183,1,,SUN BUM TNNG OIL SPF 15,9 OZ,7.50 in,2.00 in,Unit
4,4,1,0084015560316,1,,SUNBUM KIDS SUNSCRN SPRAY,6 OZ,7.50 in,2.10 in,Unit
4,4,2,0084015560315,1,,SUNBUM KIDS VGN SUNSCREEN,6 FLOZ,6.50 in,2.70 in,Unit
4,4,3,0084015560314,1,,SUNBUM KIDS FCSTCK SNSCRN,0.53 OZ,4.30 in,2.00 in,Unit
4,4,4,0087176000279,1,,BABY BUM SPF 50 MIN SUNSR,0.45 OZ,6.70 in,3.50 in,Tray
